đậu;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8ae24c5a99729c9924a009fe8c51cd3f.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/4762e89092b60dc1f85c2c000fe4a2b2.mp3
đậu thận trắng;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/052ece4e4e5e2c8c54f0eb335bf0dadd.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/53a9c7a6209a8f024a5d6e368bce61a2.mp3
trắng;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/3b78e0b69f2f6bde9e1a41bbc61ce1e4.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/63df7feba1bc978cc10b388f86f53b5a.mp3
bài;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f5e5bd2312f675e45aa448d2e85df086.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8b5286a34544ad4178f1613c41acaf07.mp3
bài mười lăm;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9745ce22373ccedc5d2ad6e199dd23ef.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/2d57862a7636b60d5862c3095f4464cf.mp3
trang;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/473754f9dcc1ce12ba2b4a55721bfab1.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/85ee2f0924b3af52a2284370185399c3.mp3
trang bảy mươi lăm;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/a37e9fe66e60095d590d940797021029.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/853396d94f45d7d4cdfcdb0540a92d21.mp3
đánh ra;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/306a205dfcbf6cbdf4cb7ab21ebb7d8c.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/a547b3920625e90799413b3210012e6d.mp3
em đánh ra được không?;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/ad44da08d7dc8ce638982b2df4b6069d.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9bae1e6dd367ea9e0f6bd28513528495.mp3
Sáng nay;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/33caffe8f3672e92ea2d1c2d5b99938a.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/0965a42d87da3f84edd222f3af3a6057.mp3
cuối tuần;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9bee962ff96abc6456222766c31285a2.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/4ee7282043f660cfee4a85286de877bd.mp3
cuối tuần này anh làm gì?;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/5e68999f84dfbf81d1a56cf57f53f0c8.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/59df7278fa7dcb2d083116124790887c.mp3
nấu ăn;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9159e65d9d41e109c60fb0bdf96fa68f.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8a588674eee23f44e9b040c0c9a8ef9b.mp3
cuối tuần này anh đi học nấu ăn.;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/62795a31224d798694b56b0944abae7a.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/6dd78d4065bc56bc3cb38f2c0371bfdf.mp3
làm xong;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/f9fdcd250f338aee1501c4766644732e.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/1c10857ebad26490a3692fab1529aa74.mp3
anh phải làm xong một số thứ để sẵn sàng cho tuần sau;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/09be9558604258ee917af3e6b0c18d26.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9ff853db2495a781a46bb30f284f536f.mp3
một số;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/899eba819262c1ab9b6f9ca6f1b5225b.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/b668a87cf152cf64a48b1b1421441898.mp3
sẵn sàng;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/bb2fcbb64922c58701dcff5771b2f10a.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/5856a4163ef0c5ada43c9c88fe1398e2.mp3
sợ;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9d8b55e732280f417c5c45c9b66ce939.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/54e2c1d9e7f2428a2635058be154b918.mp3
anh không sợ xe máy hả?;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/58ec07e8f97affa347b4062e70c4678c.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/214989527dfd9e4317c22722cecce919.mp3
chắc;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/81c063b6d76e8d80aabeb5f34f4f57b6.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/488d7c9794600770c2417ee1d1b4c4c8.mp3
coi;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9ea24cc5894296d7806bbd5a4542ed01.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/a5d86d0da86692a58adf5a07e94f343d.mp3
Anh đã coi Killing Eve trên Netflix;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/1aa5f382ecba541495e64e2eb19f3d06.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/50d04e92bcbc25f4e20403df06e8b6d7.mp3
trên;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9b6099bb9f7ff7feeb4638ab7524451b.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8566827bd85f308453664dcd60e86869.mp3
món;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/925c53f3e4587e2f070eded94acbf1ba.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/ff1e14ebc4451fc2fca7e47a8265edff.mp3
Anh đã ăn món anh làm ở lớp nấu ăn thứ bảy;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/b29fe2f1b82a1b534446e9b942203c9e.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/75c801341262612ac4ed6b8a0252e4af.mp3
lớp nấu ăn;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/dcb846d5fdb21a844c90d9a32df02fc0.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/82540d7ffe49958ca6faae4e8cc66e0c.mp3
thứ bảy;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/5e818f7df771a4db21f1c4782baf28b7.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/942f2ac26038d4c45a6432e6653c7651.mp3
hôm nay;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/f109f2a73e27f054bcfa5d92384da2e4.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/fc4978733d056d47431def8355d48381.mp3
hôm qua;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/a785b9817c744a3a079b60a7327c5355.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9d0f6f7e13ef17e7e4dbec0424b710d5.mp3
ngày mai;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/e15facf6a93a8e8f3c9dda31da1db6c9.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/39d23966cc71b9bf8a152835cdf2941b.mp3
ngày mai anh muốn ăn gì?;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/74c4ccba886a0974f40abe317fea43b2.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/753c2fb38b6c9f88bab514a616e18e0b.mp3
cần;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/ed503ba55e306099cb185185cf6a1c16.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/66ee1b187b6a31b6cc563f7e709f5dbb.mp3
Anh cần học tên đồ ăn;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/6a31e35e91349552b2f9ca73a12ed626.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/0058519de30909e954cef0c52eab0914.mp3
Tây Ban Nha;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/9eb92ccc44b668da0d7b715c8dcb65b4.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/b6474daf6eddd84a9ce9ce471c28d0e3.mp3
Tôi cần học tiếng Tây Ban Nha;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/1de8bc081e2bc37d6f5d280fdb2a8ef5.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/3d94c5468d36dac99d7dd2b985fb871a.mp3
ôn bài;https://file01.fpt.ai/text2speech-v5/long/2023-03-09/0285cc089623119c1fc0d84fab55058b.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f022b599523a23fb5ddbd4a8295a0e45.mp3
